"","K0","R0","N","Ti","cancor.Theta.RPC","cancor.F.RPC","err.Theta.RPC","err.F.RPC","K=0","K=1","K=2","K=3","K=4","R=0","R=1","R=2","R=3","R=4"
"PCp1",2,0,200,200,0.999709081231272,0,0.0444552507018435,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,200,200,0.999709081231272,0,0.0444552507018435,0,0,0,100,0,0,100,0,0,0,0
"PCp2",2,0,200,200,0.999709081231272,0,0.0444552507018435,0,0,0,100,0,0,100,0,0,0,0
"ICp2",2,0,200,200,0.999709081231272,0,0.0444552507018435,0,0,0,100,0,0,100,0,0,0,0
"PCp3",2,0,200,200,0.999709081231272,0,0.0444552507018435,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,200,200,0.999709081231272,0,0.0444552507018435,0,0,0,100,0,0,100,0,0,0,0
"PCp1",2,0,200,20,0.995926149956698,0,0.15630335745546,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,200,20,0.995926149956698,0,0.15630335745546,0,0,0,100,0,0,100,0,0,0,0
"PCp2",2,0,200,20,0.995926149956698,0,0.15630335745546,0,0,0,100,0,0,100,0,0,0,0
"ICp2",2,0,200,20,0.995926149956698,0,0.15630335745546,0,0,0,100,0,0,100,0,0,0,0
"PCp3",2,0,200,20,0.995926149956698,0,0.15630335745546,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,200,20,0.995926149956698,0,0.15630335745546,0,0,0,100,0,0,100,0,0,0,0
"PCp1",2,0,200,50,0.998786038521432,0,0.0891619980500007,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,200,50,0.998786038521432,0,0.0891619980500007,0,0,0,100,0,0,100,0,0,0,0
"PCp2",2,0,200,50,0.998786038521432,0,0.0891619980500007,0,0,0,100,0,0,100,0,0,0,0
"ICp2",2,0,200,50,0.998786038521432,0,0.0891619980500007,0,0,0,100,0,0,100,0,0,0,0
"PCp3",2,0,200,50,0.998786038521432,0,0.0891619980500007,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,200,50,0.998786038521432,0,0.0891619980500007,0,0,0,100,0,0,100,0,0,0,0
"PCp1",2,0,200,100,0.999443394346942,0,0.0612213458482545,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,200,100,0.999443394346942,0,0.0612213458482545,0,0,0,100,0,0,100,0,0,0,0
"PCp2",2,0,200,100,0.999443394346942,0,0.0612213458482545,0,0,0,100,0,0,100,0,0,0,0
"ICp2",2,0,200,100,0.999443394346942,0,0.0612213458482545,0,0,0,100,0,0,100,0,0,0,0
"PCp3",2,0,200,100,0.999443394346942,0,0.0612213458482545,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,200,100,0.999443394346942,0,0.0612213458482545,0,0,0,100,0,0,100,0,0,0,0
"PCp1",0,0,20,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,20,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,20,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,20,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,20,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,20,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp1",0,0,50,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,50,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,50,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,50,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,50,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,50,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp1",0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp1",0,0,200,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,200,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,200,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,200,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,200,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,200,200,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp1",0,0,200,20,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,200,20,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,200,20,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,200,20,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,200,20,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,200,20,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp1",0,0,200,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,200,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,200,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,200,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,200,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,200,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp1",0,0,200,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp1",0,0,200,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp2",0,0,200,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp2",0,0,200,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"PCp3",0,0,200,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
"ICp3",0,0,200,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0
